Country,TotalImports,TotalExports,TobaccoImports,TobaccoExports,PropTobaccoImports,PropTobaccoImportsQuartile,PropTobaccoExports,PropTobaccoExportsQuartile,TobaccoUsePercent,TobaccoUseQuartile
"Korea, Rep.",6.02E+11,6.49E+11,56228350,717409120,9.33E-05,1,1.11E-03,3,20.7,3
Kuwait,61138060277,72583928854,276408580,4440170,0.004521055767,4,0.00006117290797,1,22.5,3
Kyrgyz Republic,5689780525,3125631006,73442690,21833200,0.01290782477,4,0.006985213532,4,26.9,4
Lao PDR,5797000000,5809000000,24145300,65791120,0.00416513714,4,0.01132572216,4,30.8,4
Latvia,20771264044,20529337766,74820520,27317390,0.00360211684,4,0.001330651301,3,33.6,4
Lebanon,21820628748,10681277028,71261060,216280,0.003265765658,4,0.00002024851518,1,38.9,4
Lesotho,2241741785,1124592315,15993160,10810,0.007134256098,4,0.000009612372284,1,23.4,3
Lithuania,39411592686,42289157135,69998580,731398300,0.001776091125,3,0.01729517327,4,28.8,4
Luxembourg,1.23E+11,1.44E+11,113676830,83889600,9.27E-04,2,5.82E-04,3,20.8,3
Madagascar,4820540078,4009166349,348390,680010,0.00007227198496,1,0.0001696138151,2,27.3,4
Malawi,2.94E+09,9.13E+08,3536770,,1.20E-03,3,,,8.5,1
Malaysia,2.11E+11,2.38E+11,199741150,62213670,9.47E-04,2,2.61E-04,2,23.8,3
Maldives,4399141282,3894413425,18308380,,0.004161807686,4,,,33.8,4
Mali,6558444719,4441938778,60726770,23670,0.009259324825,4,0.000005328754218,1,8.2,1
Malta,20317929102,22962919268,50873240,19995890,0.00250385951,4,0.000870790415,3,22.4,3
Mauritania,3944905006,3091542481,12714290,,0.003222964807,4,,,11.8,1
Mauritius,7538246860,5403470196,60518800,3290350,0.008028232708,4,0.0006089327563,3,20.1,2
Moldova,6624660972,3659009037,54345180,18819910,0.008203465842,4,0.005143444525,4,27.7,4
Mongolia,9259602720,8412612740,61042190,3218890,0.006592311986,4,0.0003826266702,2,29.6,4
Montenegro,3602316724,2430069066,15681430,875920,0.004353151375,4,0.0003604506605,2,32.8,4
Morocco,57428226804,47129384118,129622470,2919890,0.002257121231,3,0.00006195476675,1,14.9,2
Mozambique,12270557769,4966110853,5252900,430,0.0004280897494,2,0.00000008658687104,1,13.9,2
Myanmar,20814897954,20877077817,4363950,38967080,0.0002096551234,1,0.001866500683,4,43.8,4
Namibia,5942475140,4560915374,33155830,3369360,0.005579464654,4,0.0007387464409,3,13.8,2
Nepal,14176873281,2659663943,514890,,0.00003631900983,1,,,26.5,4
Netherlands,6.62E+11,7.51E+11,458913690,412640190,6.93E-04,2,5.49E-04,3,21.5,3
New Zealand,57670097999,58307831673,105979890,39163430,0.001837692213,3,0.0006716667191,3,13.2,2
Niger,3396076034,1475283080,46110270,336840,0.01357751403,4,0.0002283222824,2,7.7,1
Nigeria,88741069129,63726878125,11988860,15547560,0.0001350993415,1,0.0002439717817,2,3.5,1
Norway,1.41E+11,1.47E+11,158009120,17800,1.12E-03,2,1.21E-07,1,16.8,2
Oman,32568530559,43583094928,315070330,472038080,0.009674072628,4,0.01083076089,4,11.5,1
Pakistan,62624563954,30136171703,188930,1402120,0.000003016867313,1,0.0000465261485,1,19.4,2
Panama,29321995400,27602938300,122319810,101276890,0.004171605934,4,0.003669061927,4,5.4,1
Paraguay,13328941538,13722313059,29637290,25254350,0.002223529146,3,0.001840385793,4,12.2,2
Peru,52296167561,54886884607,20888060,,0.0003994185611,2,,,8.8,1
Philippines,1.52E+11,1.07E+11,11885340,265219590,7.80E-05,1,2.48E-03,4,23.4,3
Poland,3.02E+11,3.31E+11,62967650,3499292860,2.08E-04,1,1.06E-02,4,24.4,3
Portugal,1.03E+11,1.04E+11,113128480,640585560,1.09E-03,2,6.13E-03,4,21.1,3
Qatar,66769780220,92046153846,45296390,,0.0006783965718,2,,,19,2
Romania,1.11E+11,1.01E+11,113818930,742701480,1.02E-03,2,7.36E-03,4,26.1,4
Russian Federation,3.52E+11,4.81E+11,46365380,262045910,1.32E-04,1,5.44E-04,3,25.3,3
Rwanda,3741294412,2258781198,3444680,24350,0.0009207187729,2,0.00001078014994,1,12.4,2
Samoa,440931665.4,321405538.6,200,504960,0.0000004535850239,1,0.001571099248,3,26.1,4
Sao Tome and Principe,148000000,10000000,179030,,0.001209662162,3,,,5.3,1
Saudi Arabia,2.19E+11,2.86E+11,515799840,,2.36E-03,3,,,17.5,2
Senegal,9186797995,5846879269,1254150,31704510,0.0001365165535,1,0.005422467019,4,6.5,1
Serbia,31394659932,26277880391,62016190,195499840,0.001975373842,3,0.00743971116,4,37.8,4
Seychelles,1701473287,1538980635,462260,18584960,0.0002716821966,1,0.01207614935,4,21.3,3
Singapore,5.50E+11,6.58E+11,787278170,1060970560,1.43E-03,3,1.61E-03,3,16.8,2
Slovak Republic,96720447137,97140403446,182282930,1190,0.001884636966,3,0.00000001225030943,1,30.1,4
Slovenia,40803659239,45490464656,80110250,441080,0.001963310436,3,0.000009696097926,1,19.9,2
South Africa,1.04E+11,1.06E+11,98242460,129646960,9.45E-04,2,1.22E-03,3,20.2,2
Spain,4.46E+11,4.87E+11,1396701490,93996540,3.13E-03,4,1.93E-04,2,25,3
Sri Lanka,24569911488,19426214046,9263720,5723090,0.0003770351393,2,0.0002946065552,2,22.4,3
Sweden,2.33E+11,2.55E+11,126700550,7338490,5.44E-04,2,2.88E-05,1,24.3,3
Switzerland,3.93E+11,4.80E+11,19427760,531635980,4.95E-05,1,1.11E-03,3,23.7,3
Tajikistan,3408723663,1243452531,13348280,2475080,0.003915917311,4,0.001990490138,4,30.8,4
Thailand,2.73E+11,3.24E+11,279803540,193519600,1.03E-03,2,5.98E-04,3,22.7,3
