"Country","ALPHA3","TotalImports","TotalExports","TobaccoImports","TobaccoExports","PropTobaccoImports","PropTobaccoImportsQuartile","PropTobaccoExports","PropTobaccoExportsQuartile","TobaccoUseMale","TobaccoUseFemale","TobaccoUseAll","TobaccoUseQuartile","LungCancerRateMale","LungCancerRateFemale","LungCancerRateAll","LungCancerRateQuartile","LungCancerRateAllQuartileReadable","PropTobaccoExportsQuartileReadable","PropTobaccoImportsQuartileReadable","TobaccoUseQuartileReadable"
"China","CHN",2.5e+12,2.63e+12,636889200,705422090,0.000255,1,0.000268,2,48,2.1,25.4,4,47.8,22.8,35.3,4,"28.95% - 59.4%","0% - 0.001%","0% - 0.001%","25.325% - 43.8%"
"Colombia","COL",70084060395,51271147230,83593070,4402440,0.00119275438,3,8.586583757e-05,2,12.9,4.8,8.7,1,12.7,8.1,10.4,2,"5.4% - 15.25%","0% - 0.001%","0.001% - 0.002%","3.3% - 12.175%"
"Comoros","COM",352466452.8,152645352.9,454410,70470,0.001289229078,3,0.0004616583385,2,28,11.1,19.6,2,0.38,NA,0.19,1,"0.19% - 5.4%","0% - 0.001%","0.001% - 0.002%","12.175% - 20.35%"
"Congo, Dem. Rep.","COD",15201477431,13335506552,26448860,35360,0.001739887463,3,2.651567817e-06,1,26.4,2.2,12.2,2,3.9,2.4,3.15,1,"0.19% - 5.4%","0% - 0.001%","0.001% - 0.002%","12.175% - 20.35%"
"Congo, Rep.","COG",6778503750,9408766649,1217440,1021250,0.0001796030577,1,0.000108542388,2,26.4,2.2,14.2,2,3.4,1.5,2.45,1,"0.19% - 5.4%","0% - 0.001%","0% - 0.001%","12.175% - 20.35%"
"Costa Rica","CRI",20249828874,22111572397,17030780,5000,0.0008410332801,2,2.261259358e-07,1,13.6,4.8,9.2,1,9.5,3.9,6.7,2,"5.4% - 15.25%","0% - 0.001%","0% - 0.001%","3.3% - 12.175%"
"Cote d'Ivoire","CIV",13244332330,13918496154,27536820,12964270,0.002079139915,3,0.0009314418639,3,13.6,4.8,9.8,1,3.4,1.4,2.4,1,"0.19% - 5.4%","0% - 0.001%","0.002% - 0.04%","3.3% - 12.175%"
"Croatia","HRV",31780528145,31588377224,79250710,127148450,0.002493687633,3,0.00402516562,4,36,30.3,33,4,50.9,18,34.45,4,"28.95% - 59.4%","0.002% - 0.048%","0.002% - 0.04%","25.325% - 43.8%"
"Cyprus","CYP",19416770402,19471734020,45471730,3683010,0.002341879162,3,0.0001891464826,2,47.2,22,34.5,4,41,8.4,24.7,3,"15.25% - 28.95%","0% - 0.001%","0.002% - 0.04%","25.325% - 43.8%"
"Czech Republic","CZE",1.71e+11,1.87e+11,381266980,785074680,0.00222,3,0.00421,4,47.2,22,28.5,4,38.5,18.2,28.35,3,"15.25% - 28.95%","0.002% - 0.048%","0.002% - 0.04%","25.325% - 43.8%"
"Denmark","DNK",1.79e+11,2.05e+11,102649660,8835250,0.000572,2,4.31e-05,1,18.6,17.7,18.2,2,37.3,36.3,36.8,4,"28.95% - 59.4%","0% - 0.001%","0% - 0.001%","12.175% - 20.35%"
"Dominican Republic","DOM",24851856015,20518119287,6943920,13479090,0.0002794125314,2,0.0006569359409,3,14.7,6.8,10.7,1,14.6,10.4,12.5,2,"5.4% - 15.25%","0% - 0.001%","0% - 0.001%","3.3% - 12.175%"
"Ecuador","ECU",24895603000,24917131000,704760,260,2.830861337e-05,1,1.043458816e-08,1,19.2,4.5,11.8,1,7,5.4,6.2,2,"5.4% - 15.25%","0% - 0.001%","0% - 0.001%","3.3% - 12.175%"
"Egypt, Arab Rep.","EGY",78012528474,53041002278,64466720,284130,0.0008263636785,2,5.356799227e-06,1,48.2,0.4,24.3,3,11.6,4.2,7.9,2,"5.4% - 15.25%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"El Salvador","SLV",12453420000,7981810000,13117110,36800,0.001053293794,2,4.610483086e-06,1,14.7,1.8,7.7,1,6.4,4.8,5.6,2,"5.4% - 15.25%","0% - 0.001%","0.001% - 0.002%","3.3% - 12.175%"
"Estonia","EST",4971586128,5810566793,33813930,4080930,0.006801437032,4,0.0007023290748,3,36.7,19.7,27.6,4,51.4,14.9,33.15,4,"28.95% - 59.4%","0% - 0.001%","0.002% - 0.04%","25.325% - 43.8%"
"Eswatini","SWZ",1931358813,2051993385,5396750,NA,0.002794276218,4,NA,NA,15.4,1.6,8.2,1,4.3,1.8,3.05,1,"0.19% - 5.4%","missing","0.002% - 0.04%","3.3% - 12.175%"
"Ethiopia","ETH",20022064432,7615437261,8916190,123290,0.0004453182153,2,1.618948404e-05,1,7.8,1.3,4.5,1,3.8,3.4,3.6,1,"0.19% - 5.4%","0% - 0.001%","0% - 0.001%","3.3% - 12.175%"
"Fiji","FJI",3211587345,2645442464,428350,1265140,0.000133376413,1,0.0004782337992,2,37.9,11.1,24.6,3,8,4.8,6.4,2,"5.4% - 15.25%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"Finland","FIN",1.07e+11,1.07e+11,77110850,1969810,0.000723,2,1.84e-05,1,25.7,14,19.7,2,24.8,14.7,19.75,3,"15.25% - 28.95%","0% - 0.001%","0% - 0.001%","12.175% - 20.35%"
"France","FRA",8.88e+11,8.62e+11,1251115900,23721850,0.00141,3,2.75e-05,1,31.6,26.4,28.9,4,51.3,22.5,36.9,4,"28.95% - 59.4%","0% - 0.001%","0.001% - 0.002%","25.325% - 43.8%"
"Gambia, The","GMB",624393675.9,341709153.6,2557760,NA,0.004096389984,4,NA,NA,20.8,0.9,10.6,1,6.2,0.29,3.245,1,"0.19% - 5.4%","missing","0.002% - 0.04%","3.3% - 12.175%"
"Georgia","GEO",11142797141,9577029902,104716820,53505120,0.009397713938,4,0.005586817682,4,55.3,6.6,29.3,4,35.7,3.7,19.7,3,"15.25% - 28.95%","0.002% - 0.048%","0.002% - 0.04%","25.325% - 43.8%"
"Germany","DEU",1.59e+12,1.81e+12,1278767980,2327789220,0.000803,2,0.00128,3,22.9,17.6,20.2,2,41,27.4,34.2,4,"28.95% - 59.4%","0.001% - 0.002%","0% - 0.001%","12.175% - 20.35%"
"Ghana","GHA",26908043834,25592134166,12387210,648260,0.0004603534198,2,2.533043926e-05,1,6.3,0.4,3.3,1,1.8,1.3,1.55,1,"0.19% - 5.4%","0% - 0.001%","0% - 0.001%","3.3% - 12.175%"
"Greece","GRC",85870633405,82328771663,174899280,211242940,0.002036776405,3,0.002565845885,4,36.4,27.4,31.8,4,67.8,16.4,42.1,4,"28.95% - 59.4%","0.002% - 0.048%","0.002% - 0.04%","25.325% - 43.8%"
"Guatemala","GTM",21525090623,13593357803,15182100,992230,0.0007053210723,2,7.299373815e-05,2,21.4,1.7,11.2,1,3.9,2.5,3.2,1,"0.19% - 5.4%","0% - 0.001%","0% - 0.001%","3.3% - 12.175%"
"Guyana","GUY",4.025e+09,1.566e+09,6014090,189730,0.001494183851,3,0.000121155811,2,22.4,2.5,12.4,2,5,2.3,3.65,1,"0.19% - 5.4%","0% - 0.001%","0.001% - 0.002%","12.175% - 20.35%"
"Hungary","HUN",1.3e+11,1.34e+11,128873510,134411360,0.000992,2,0.00101,3,35.3,24.7,29.7,4,77.4,41.4,59.4,4,"missing","0.001% - 0.002%","0% - 0.001%","25.325% - 43.8%"
"Iceland","ISL",9892781119,11012617626,12733000,NA,0.001287100144,3,NA,NA,12.6,12.4,12.5,2,27.7,32.5,30.1,4,"28.95% - 59.4%","missing","0.001% - 0.002%","12.175% - 20.35%"
"India","IND",6.02e+11,5.29e+11,17990220,98920360,2.99e-05,1,0.000187,2,41.2,13.1,27.6,4,7.8,3,5.4,2,"5.4% - 15.25%","0% - 0.001%","0% - 0.001%","25.325% - 43.8%"
"Indonesia","IDN",2.13e+11,2.08e+11,36219270,823813550,0.00017,1,0.00396,4,71.5,3.8,37.7,4,19.4,6,12.7,2,"5.4% - 15.25%","0.002% - 0.048%","0% - 0.001%","25.325% - 43.8%"
"Ireland","IRL",4.97e+11,5.11e+11,61309180,10,0.000123,1,1.96e-11,1,22.3,18.8,20.5,3,38.8,29.2,34,4,"28.95% - 59.4%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"Israel","ISR",1.09e+11,1.17e+11,198317000,1000,0.00182,3,8.51e-09,1,29,13.6,21.2,3,27.8,15.2,21.5,3,"15.25% - 28.95%","0% - 0.001%","0.001% - 0.002%","20.35% - 25.325%"
"Italy","ITA",5.69e+11,6.36e+11,1949221610,7382210,0.00343,4,1.16e-05,1,25.7,17.4,21.4,3,34.5,16,25.25,3,"15.25% - 28.95%","0% - 0.001%","0.002% - 0.04%","20.35% - 25.325%"
"Jamaica","JAM",8243797825,6021403909,10705820,5301550,0.00129865145,3,0.0008804508185,3,16.1,4.1,10,1,21.1,7.3,14.2,2,"5.4% - 15.25%","0% - 0.001%","0.001% - 0.002%","3.3% - 12.175%"
