"Country","ALPHA3","TotalImports","TotalExports","TobaccoImports","TobaccoExports","PropTobaccoImports","PropTobaccoImportsQuartile","PropTobaccoExports","PropTobaccoExportsQuartile","TobaccoUseMale","TobaccoUseFemale","TobaccoUseAll","TobaccoUseQuartile","LungCancerRateMale","LungCancerRateFemale","LungCancerRateAll","LungCancerRateQuartile","LungCancerRateAllQuartileReadable","PropTobaccoExportsQuartileReadable","PropTobaccoImportsQuartileReadable","TobaccoUseQuartileReadable"
"Saudi Arabia","SAU",2.19e+11,2.86e+11,515799840,NA,0.00236,3,NA,NA,27.7,2.1,17.5,2,5.8,2.5,4.15,1,"0.19% - 5.4%","missing","0.002% - 0.04%","12.175% - 20.35%"
"Senegal","SEN",9186797995,5846879269,1254150,31704510,0.0001365165535,1,0.005422467019,4,12.9,0.6,6.5,1,3.7,1.4,2.55,1,"0.19% - 5.4%","0.002% - 0.048%","0% - 0.001%","3.3% - 12.175%"
"Serbia","SRB",31394659932,26277880391,62016190,195499840,0.001975373842,3,0.00743971116,4,40.1,35.7,37.8,4,71.6,30.9,51.25,4,"28.95% - 59.4%","0.002% - 0.048%","0.001% - 0.002%","25.325% - 43.8%"
"Seychelles","SYC",1701473287,1538980635,462260,18584960,0.0002716821966,1,0.01207614935,4,35.1,6.7,21.3,3,NA,NA,NA,NA,"missing","0.002% - 0.048%","0% - 0.001%","20.35% - 25.325%"
"Singapore","SGP",5.5e+11,6.58e+11,787278170,1060970560,0.00143,3,0.00161,3,28.2,4.3,16.8,2,41.5,17.2,29.35,4,"28.95% - 59.4%","0.001% - 0.002%","0.001% - 0.002%","12.175% - 20.35%"
"Slovak Republic","SVK",96720447137,97140403446,182282930,1190,0.001884636966,3,1.225030943e-08,1,28.2,4.3,30.1,4,54.3,13.2,33.75,4,"28.95% - 59.4%","0% - 0.001%","0.001% - 0.002%","25.325% - 43.8%"
"Slovenia","SVN",40803659239,45490464656,80110250,441080,0.001963310436,3,9.696097926e-06,1,23,16.8,19.9,2,46.6,20.8,33.7,4,"28.95% - 59.4%","0% - 0.001%","0.001% - 0.002%","12.175% - 20.35%"
"South Africa","ZAF",1.04e+11,1.06e+11,98242460,129646960,0.000945,2,0.00122,3,34.5,6.7,20.2,2,28.2,9.7,18.95,3,"15.25% - 28.95%","0.001% - 0.002%","0% - 0.001%","12.175% - 20.35%"
"Spain","ESP",4.46e+11,4.87e+11,1396701490,93996540,0.00313,4,0.000193,2,27.8,22.4,25,3,42.1,14,28.05,3,"15.25% - 28.95%","0% - 0.001%","0.002% - 0.04%","20.35% - 25.325%"
"Sri Lanka","LKA",24569911488,19426214046,9263720,5723090,0.0003770351393,2,0.0002946065552,2,44,3,22.4,3,8.3,2.5,5.4,1,"5.4% - 15.25%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"Sweden","SWE",2.33e+11,2.55e+11,126700550,7338490,0.000544,2,2.88e-05,1,30.1,18.5,24.3,3,16.9,18.1,17.5,3,"15.25% - 28.95%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"Switzerland","CHE",3.93e+11,4.8e+11,19427760,531635980,4.95e-05,1,0.00111,3,26.7,20.7,23.7,3,26.6,19.3,22.95,3,"15.25% - 28.95%","0.001% - 0.002%","0% - 0.001%","20.35% - 25.325%"
"Tajikistan","TJK",3408723663,1243452531,13348280,2475080,0.003915917311,4,0.001990490138,4,43.6,18.7,30.8,4,7.5,3.8,5.65,2,"5.4% - 15.25%","0.001% - 0.002%","0.002% - 0.04%","25.325% - 43.8%"
"Thailand","THA",2.73e+11,3.24e+11,279803540,193519600,0.00103,2,0.000598,3,43.2,3.6,22.7,3,29.4,13.1,21.25,3,"15.25% - 28.95%","0% - 0.001%","0.001% - 0.002%","20.35% - 25.325%"
"Togo","TGO",2260740966,1665137367,15327470,318900,0.006779843525,4,0.000191515731,2,11.2,1.2,6.2,1,3.1,0.94,2.02,1,"0.19% - 5.4%","0% - 0.001%","0.002% - 0.04%","3.3% - 12.175%"
"Turkey","TUR",2.28e+11,2.48e+11,148752600,470514970,0.000651,2,0.0019,4,48.6,2.2,30.8,4,70.6,9.8,40.2,4,"28.95% - 59.4%","0.001% - 0.002%","0% - 0.001%","25.325% - 43.8%"
"Uganda","UGA",7866761620,6048575655,14415780,7172260,0.001832492288,3,0.001185776687,3,10.4,2.5,6.3,1,4.3,1.9,3.1,1,"0.19% - 5.4%","0.001% - 0.002%","0.001% - 0.002%","3.3% - 12.175%"
"Ukraine","UKR",75832830346,63448556040,47588210,332599640,0.0006275409975,2,0.005242036395,4,41.2,9.2,23.7,3,41.7,6.5,24.1,3,"15.25% - 28.95%","0.002% - 0.048%","0% - 0.001%","20.35% - 25.325%"
"United Arab Emirates","ARE",2.96e+11,4.04e+11,643528760,4257730680,0.00218,3,0.0105,4,41.2,9.2,15,2,7,5,6,2,"5.4% - 15.25%","0.002% - 0.048%","0.002% - 0.04%","12.175% - 20.35%"
"United Kingdom","GBR",9.19e+11,8.93e+11,426852570,3451310,0.000465,2,3.87e-06,1,41.2,9.2,7.7,1,35.5,30.2,32.85,4,"28.95% - 59.4%","0% - 0.001%","0% - 0.001%","3.3% - 12.175%"
"United States","USA",3.12e+12,2.52e+12,397105380,834693900,0.000127,1,0.000331,2,13.1,2.3,22.4,3,40.1,30.8,35.45,4,"28.95% - 59.4%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"Uruguay","URY",13383202587,16991760618,4630750,15701030,0.0003460120976,2,0.000924037853,3,24.8,17.3,20.8,3,46.2,13.5,29.85,4,"28.95% - 59.4%","0% - 0.001%","0% - 0.001%","20.35% - 25.325%"
"Uzbekistan","UZB",26620511130,17026594789,1120880,13002260,4.210587823e-05,1,0.0007636441791,3,34.1,1.1,17.4,2,14.1,4.1,9.1,2,"5.4% - 15.25%","0% - 0.001%","0% - 0.001%","12.175% - 20.35%"
"Vietnam","VNM",2.53442e+11,2.6461e+11,11840,264655940,4.671680306e-08,1,0.001000173614,3,49.5,2.4,25.5,4,35.4,11.1,23.25,3,"15.25% - 28.95%","0.001% - 0.002%","0% - 0.001%","25.325% - 43.8%"
"Yemen","YEM",10485642191,1561767813,15957650,NA,0.001521857194,3,NA,NA,34.3,8.6,21.5,3,3.9,4.4,4.15,1,"0.19% - 5.4%","missing","0.001% - 0.002%","20.35% - 25.325%"
"Zambia","ZMB",7961078355,8073235066,967370,142260,0.000121512433,1,1.762118888e-05,1,21.6,3.1,12.1,1,4,3.5,3.75,1,"0.19% - 5.4%","0% - 0.001%","0% - 0.001%","3.3% - 12.175%"
"Zimbabwe","ZWE",6176926696,6026541180,8310,15357640,1.345329224e-06,1,0.002548334035,4,20.3,1.1,9.9,1,5.8,3.3,4.55,1,"0.19% - 5.4%","0.002% - 0.048%","0% - 0.001%","3.3% - 12.175%"
