"","Country","ALPHA3","TotalImports","TotalExports","TobaccoImports","TobaccoExports","PropTobaccoImports","PropTobaccoImportsQuartile","PropTobaccoExports","PropTobaccoExportsQuartile","TobaccoUsePercent","TobaccoUseQuartile","lung.cancer.RANK.male","lung.cancer.VALUE.male","lung.cancer.RANK.female","lung.cancer.VALUE.female"
"72","Lao PDR","LAO",5.8e+09,5.81e+09,24145300,65791120,0.004165137,4,0.011325722,4,30.8,4,4,"29.4",2,"10.2"
"73","Latvia","LVA",20771264044,20529337766,74820520,27317390,0.003602117,4,0.001330651,3,33.6,4,5,"51.8",2,"9.6"
"74","Lebanon","LBN",21820628748,10681277028,71261060,216280,0.003265766,4,2.02e-05,1,38.9,4,4,"31.3",3,"14.8"
"75","Lesotho","LSO",2241741785,1124592315,15993160,10810,0.007134256,4,9.61e-06,1,23.4,3,2,"6.4",1,"1.7"
"76","Lesotho","LSO",2241741785,1124592315,15993160,10810,0.007134256,4,9.61e-06,1,23.4,3,2,"6.4",1,"1.7"
"77","Lesotho","LSO",2241741785,1124592315,15993160,10810,0.007134256,4,9.61e-06,1,23.4,3,2,"6.4",1,"1.7"
"78","Lesotho","LSO",2241741785,1124592315,15993160,10810,0.007134256,4,9.61e-06,1,23.4,3,2,"6.4",1,"1.7"
"79","Lithuania","LTU",39411592686,42289157135,69998580,731398300,0.001776091,3,0.017295173,4,28.8,4,5,"52.6",2,"9.2"
"80","Luxembourg","LUX",1.23e+11,1.44e+11,113676830,83889600,0.000927,2,0.000582,3,20.8,3,4,"40",3,"18.2"
"81","Madagascar","MDG",4820540078,4009166349,348390,680010,7.23e-05,1,0.000169614,2,27.3,4,1,"1.4",1,"0.8"
"82","Malawi","MWI",2.94e+09,9.13e+08,3536770,NA,0.0012,3,NA,NA,8.5,1,1,"2.4",1,"1"
"83","Malaysia","MYS",2.11e+11,2.38e+11,199741150,62213670,0.000947,2,0.000261,2,23.8,3,3,"22.5",2,"8.2"
"84","Maldives","MDV",4399141282,3894413425,18308380,NA,0.004161808,4,NA,NA,33.8,4,3,"18.9",2,"6.1"
"85","Mali","MLI",6558444719,4441938778,60726770,23670,0.009259325,4,5.33e-06,1,8.2,1,2,"5.5",1,"1.5"
"86","Malta","MLT",20317929102,22962919268,50873240,19995890,0.00250386,4,0.00087079,3,22.4,3,4,"28.2",2,"11.8"
"87","Mauritania","MRT",3944905006,3091542481,12714290,NA,0.003222965,4,NA,NA,11.8,1,1,"3.9",1,"1.3"
"88","Mauritius","MUS",7538246860,5403470196,60518800,3290350,0.008028233,4,0.000608933,3,20.1,2,3,"17.7",2,"5.4"
"89","Moldova","MDA",6624660972,3659009037,54345180,18819910,0.008203466,4,0.005143445,4,27.7,4,5,"50.5",2,"10.3"
"90","Mongolia","MNG",9259602720,8412612740,61042190,3218890,0.006592312,4,0.000382627,2,29.6,4,4,"36.8",2,"6.3"
"91","Montenegro","MNE",3602316724,2430069066,15681430,875920,0.004353151,4,0.000360451,2,32.8,4,5,"62.9",3,"19.5"
"92","Morocco","MAR",57428226804,47129384118,129622470,2919890,0.002257121,3,6.2e-05,1,14.9,2,4,"31.9",1,"3.5"
"93","Mozambique","MOZ",12270557769,4966110853,5252900,430,0.00042809,2,8.66e-08,1,13.9,2,1,"1.9",1,"1.4"
"94","Myanmar","MMR",20814897954,20877077817,4363950,38967080,0.000209655,1,0.001866501,4,43.8,4,3,"19.5",2,"11.9"
"95","Namibia","NAM",5942475140,4560915374,33155830,3369360,0.005579465,4,0.000738746,3,13.8,2,2,"5.6",1,"3.1"
"96","Nepal","NPL",14176873281,2659663943,514890,NA,3.63e-05,1,NA,NA,26.5,4,3,"14.8",3,"16.3"
"97","Netherlands","NLD",6.62e+11,7.51e+11,458913690,412640190,0.000693,2,0.000549,3,21.5,3,4,"34.5",4,"32.7"
"98","New Zealand","NZL",57670097999,58307831673,105979890,39163430,0.001837692,3,0.000671667,3,13.2,2,3,"24.2",4,"26.4"
"99","Niger","NER",3396076034,1475283080,46110270,336840,0.013577514,4,0.000228322,2,7.7,1,1,"0.89",1,"0.04"
"100","Nigeria","NGA",88741069129,63726878125,11988860,15547560,0.000135099,1,0.000243972,2,3.5,1,1,"1.6",1,"1"
"101","Norway","NOR",1.41e+11,1.47e+11,158009120,17800,0.00112,2,1.21e-07,1,16.8,2,4,"30.9",4,"29.2"
"102","Oman","OMN",32568530559,43583094928,315070330,472038080,0.009674073,4,0.010830761,4,11.5,1,2,"7.1",1,"1.5"
"103","Pakistan","PAK",62624563954,30136171703,188930,1402120,3.02e-06,1,4.65e-05,1,19.4,2,2,"11.5",1,"2.6"
"104","Panama","PAN",29321995400,27602938300,122319810,101276890,0.004171606,4,0.003669062,4,5.4,1,2,"10.4",2,"7.8"
"105","Paraguay","PRY",13328941538,13722313059,29637290,25254350,0.002223529,3,0.001840386,4,12.2,2,3,"19.3",2,"5.2"
"106","Peru","PER",52296167561,54886884607,20888060,NA,0.000399419,2,NA,NA,8.8,1,2,"9.5",2,"8.9"
"107","Philippines","PHL",1.52e+11,1.07e+11,11885340,265219590,7.8e-05,1,0.00248,4,23.4,3,4,"33.1",2,"11.5"
"108","Poland","POL",3.02e+11,3.31e+11,62967650,3499292860,0.000208,1,0.0106,4,24.4,3,5,"52.7",3,"24.5"
"109","Portugal","PRT",1.03e+11,1.04e+11,113128480,640585560,0.00109,2,0.00613,4,21.1,3,4,"38.1",2,"9.7"
"110","Qatar","QAT",66769780220,92046153846,45296390,NA,0.000678397,2,NA,NA,19,2,2,"10.3",2,"5.8"
"111","Romania","ROU",1.11e+11,1.01e+11,113818930,742701480,0.00102,2,0.00736,4,26.1,4,5,"50.7",3,"12.7"
"112","Russian Federation","RUS",3.52e+11,4.81e+11,46365380,262045910,0.000132,1,0.000544,3,25.3,3,5,"48.2",2,"8.1"
"113","Rwanda","RWA",3741294412,2258781198,3444680,24350,0.000920719,2,1.08e-05,1,12.4,2,1,"4.4",1,"3.4"
"114","Samoa","WSM",440931665.4,321405538.6,200,504960,4.54e-07,1,0.001571099,3,26.1,4,5,"44",4,"28"
"115","Sao Tome and Principe","STP",1.48e+08,1e+07,179030,NA,0.001209662,3,NA,NA,5.3,1,3,"18.2",2,"6.5"
"116","Saudi Arabia","SAU",2.19e+11,2.86e+11,515799840,NA,0.00236,3,NA,NA,17.5,2,2,"5.8",1,"2.5"
"117","Senegal","SEN",9186797995,5846879269,1254150,31704510,0.000136517,1,0.005422467,4,6.5,1,1,"3.7",1,"1.4"
"118","Serbia","SRB",31394659932,26277880391,62016190,195499840,0.001975374,3,0.007439711,4,37.8,4,5,"71.6",4,"30.9"
"119","Seychelles","SYC",1701473287,1538980635,462260,18584960,0.000271682,1,0.012076149,4,21.3,3,6,"No data",6,"No data"
"120","Singapore","SGP",5.5e+11,6.58e+11,787278170,1060970560,0.00143,3,0.00161,3,16.8,2,5,"41.5",3,"17.2"
"121","Slovak Republic","SVK",96720447137,97140403446,182282930,1190,0.001884637,3,1.23e-08,1,30.1,4,5,"54.3",3,"13.2"
"122","Slovenia","SVN",40803659239,45490464656,80110250,441080,0.00196331,3,9.7e-06,1,19.9,2,5,"46.6",3,"20.8"
"123","South Africa","ZAF",1.04e+11,1.06e+11,98242460,129646960,0.000945,2,0.00122,3,20.2,2,4,"28.2",2,"9.7"
"124","Spain","ESP",4.46e+11,4.87e+11,1396701490,93996540,0.00313,4,0.000193,2,25,3,5,"42.1",3,"14"
"125","Sri Lanka","LKA",24569911488,19426214046,9263720,5723090,0.000377035,2,0.000294607,2,22.4,3,2,"8.3",1,"2.5"
"126","Sweden","SWE",2.33e+11,2.55e+11,126700550,7338490,0.000544,2,2.88e-05,1,24.3,3,3,"16.9",3,"18.1"
"127","Switzerland","CHE",3.93e+11,4.8e+11,19427760,531635980,4.95e-05,1,0.00111,3,23.7,3,4,"26.6",3,"19.3"
"128","Tajikistan","TJK",3408723663,1243452531,13348280,2475080,0.003915917,4,0.00199049,4,30.8,4,2,"7.5",1,"3.8"
"129","Thailand","THA",2.73e+11,3.24e+11,279803540,193519600,0.00103,2,0.000598,3,22.7,3,4,"29.4",3,"13.1"
"130","Togo","TGO",2260740966,1665137367,15327470,318900,0.006779844,4,0.000191516,2,6.2,1,1,"3.1",1,"0.94"
"131","Turkey","TUR",2.28e+11,2.48e+11,148752600,470514970,0.000651,2,0.0019,4,30.8,4,5,"70.6",2,"9.8"
"132","Uganda","UGA",7866761620,6048575655,14415780,7172260,0.001832492,3,0.001185777,3,6.3,1,1,"4.3",1,"1.9"
"133","Ukraine","UKR",75832830346,63448556040,47588210,332599640,0.000627541,2,0.005242036,4,23.7,3,5,"41.7",2,"6.5"
"134","United Arab Emirates","ARE",2.96e+11,4.04e+11,643528760,4257730680,0.00218,3,0.0105,4,15,2,2,"7",2,"5"
"135","United Kingdom","GBR",9.19e+11,8.93e+11,426852570,3451310,0.000465,2,3.87e-06,1,7.7,1,4,"35.5",4,"30.2"
"136","United States","USA",3.12e+12,2.52e+12,397105380,834693900,0.000127,1,0.000331,2,22.4,3,4,"40.1",4,"30.8"
"137","Uruguay","URY",13383202587,16991760618,4630750,15701030,0.000346012,2,0.000924038,3,20.8,3,5,"46.2",3,"13.5"
"138","Uzbekistan","UZB",26620511130,17026594789,1120880,13002260,4.21e-05,1,0.000763644,3,17.4,2,3,"14.1",1,"4.1"
"139","Vietnam","VNM",2.53e+11,2.65e+11,11840,264655940,4.67e-08,1,0.001000174,3,25.5,4,4,"35.4",2,"11.1"
"140","Yemen","YEM",10485642191,1561767813,15957650,NA,0.001521857,3,NA,NA,21.5,3,1,"3.9",1,"4.4"
"141","Zambia","ZMB",7961078355,8073235066,967370,142260,0.000121512,1,1.76e-05,1,12.1,1,1,"4",1,"3.5"
"142","Zimbabwe","ZWE",6176926696,6026541180,8310,15357640,1.35e-06,1,0.002548334,4,9.9,1,2,"5.8",1,"3.3"
