Country,ALPHA3,TotalImports,TotalExports,TobaccoImports,TobaccoExports,PropTobaccoImports,PropTobaccoImportsQuartile,PropTobaccoExports,PropTobaccoExportsQuartile,TobaccoUsePercent,TobaccoUseQuartile
Japan,JPN,9.09E+11,8.94E+11,2237050810,121895040,0.00246,3,0.000136,2,18.4,2
Jordan,JOR,21963521127,16170140845,555480,1292290,2.53E-05,1,7.99E-05,2,35,4
Kazakhstan,KAZ,51629142257,66197683955,100837030,82738560,0.001953103,3,0.001249871,3,23.3,3
Kenya,KEN,20408671438,11471390332,1689940,66181440,8.28E-05,1,0.005769261,4,9.9,1
"Korea, Rep.",KOR,6.02E+11,6.49E+11,56228350,717409120,9.33E-05,1,0.00111,3,20.7,3
Kuwait,KWT,61138060277,72583928854,276408580,4440170,0.004521056,4,6.12E-05,1,22.5,3
Kyrgyz Republic,KGZ,5689780525,3125631006,73442690,21833200,0.012907825,4,0.006985214,4,26.9,4
Lao PDR,LAO,5.80E+09,5.81E+09,24145300,65791120,0.004165137,4,0.011325722,4,30.8,4
Latvia,LVA,20771264044,20529337766,74820520,27317390,0.003602117,4,0.001330651,3,33.6,4
Lebanon,LBN,21820628748,10681277028,71261060,216280,0.003265766,4,2.02E-05,1,38.9,4
Lesotho,LSO,2241741785,1124592315,15993160,10810,0.007134256,4,9.61E-06,1,23.4,3
Lithuania,LTU,39411592686,42289157135,69998580,731398300,0.001776091,3,0.017295173,4,28.8,4
Luxembourg,LUX,1.23E+11,1.44E+11,113676830,83889600,0.000927,2,0.000582,3,20.8,3
Madagascar,MDG,4820540078,4009166349,348390,680010,7.23E-05,1,0.000169614,2,27.3,4
Malawi,MWI,2.94E+09,9.13E+08,3536770,NA,0.0012,3,NA,NA,8.5,1
Malaysia,MYS,2.11E+11,2.38E+11,199741150,62213670,0.000947,2,0.000261,2,23.8,3
Maldives,MDV,4399141282,3894413425,18308380,NA,0.004161808,4,NA,NA,33.8,4
Mali,MLI,6558444719,4441938778,60726770,23670,0.009259325,4,5.33E-06,1,8.2,1
Malta,MLT,20317929102,22962919268,50873240,19995890,0.00250386,4,0.00087079,3,22.4,3
Mauritania,MRT,3944905006,3091542481,12714290,NA,0.003222965,4,NA,NA,11.8,1
Mauritius,MUS,7538246860,5403470196,60518800,3290350,0.008028233,4,0.000608933,3,20.1,2
Moldova,MDA,6624660972,3659009037,54345180,18819910,0.008203466,4,0.005143445,4,27.7,4
Mongolia,MNG,9259602720,8412612740,61042190,3218890,0.006592312,4,0.000382627,2,29.6,4
Montenegro,MNE,3602316724,2430069066,15681430,875920,0.004353151,4,0.000360451,2,32.8,4
Morocco,MAR,57428226804,47129384118,129622470,2919890,0.002257121,3,6.20E-05,1,14.9,2
Mozambique,MOZ,12270557769,4966110853,5252900,430,0.00042809,2,8.66E-08,1,13.9,2
Myanmar,MMR,20814897954,20877077817,4363950,38967080,0.000209655,1,0.001866501,4,43.8,4
Namibia,NAM,5942475140,4560915374,33155830,3369360,0.005579465,4,0.000738746,3,13.8,2
Nepal,NPL,14176873281,2659663943,514890,NA,3.63E-05,1,NA,NA,26.5,4
Netherlands,NLD,6.62E+11,7.51E+11,458913690,412640190,0.000693,2,0.000549,3,21.5,3
New Zealand,NZL,57670097999,58307831673,105979890,39163430,0.001837692,3,0.000671667,3,13.2,2
Niger,NER,3396076034,1475283080,46110270,336840,0.013577514,4,0.000228322,2,7.7,1
Nigeria,NGA,88741069129,63726878125,11988860,15547560,0.000135099,1,0.000243972,2,3.5,1
Norway,NOR,1.41E+11,1.47E+11,158009120,17800,0.00112,2,1.21E-07,1,16.8,2
Oman,OMN,32568530559,43583094928,315070330,472038080,0.009674073,4,0.010830761,4,11.5,1
Pakistan,PAK,62624563954,30136171703,188930,1402120,3.02E-06,1,4.65E-05,1,19.4,2
Panama,PAN,29321995400,27602938300,122319810,101276890,0.004171606,4,0.003669062,4,5.4,1
Paraguay,PRY,13328941538,13722313059,29637290,25254350,0.002223529,3,0.001840386,4,12.2,2
Peru,PER,52296167561,54886884607,20888060,NA,0.000399419,2,NA,NA,8.8,1
Philippines,PHL,1.52E+11,1.07E+11,11885340,265219590,7.80E-05,1,0.00248,4,23.4,3
Poland,POL,3.02E+11,3.31E+11,62967650,3499292860,0.000208,1,0.0106,4,24.4,3
Portugal,PRT,1.03E+11,1.04E+11,113128480,640585560,0.00109,2,0.00613,4,21.1,3
Qatar,QAT,66769780220,92046153846,45296390,NA,0.000678397,2,NA,NA,19,2
Romania,ROU,1.11E+11,1.01E+11,113818930,742701480,0.00102,2,0.00736,4,26.1,4
